Ref,Val,Package,PosX,PosY,Rot,Side
"R604","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","111.0000","-82.0000","90.0000","top"
"R605","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","111.0000","-63.5000","90.0000","top"
"R606","1,5mR","R_2512_6432Metric_Reversed","122.9500","-98.9500","180.0000","bottom"
"R607","10R","R_2512_6332Metric","121.7500","-66.0000","90.0000","top"
"R608","10R","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","121.7500","-84.5000","90.0000","top"
"R609","15k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","106.4000","-104.7000","180.0000","bottom"
"R610","1k2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","107.4500","-100.9500","270.0000","bottom"
"R611","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","102.9750","-118.2000","0.0000","bottom"
"R612","90R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","95.6000","-115.0000","270.0000","bottom"
"R613","15k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","128.0000","-63.3000","270.0000","top"
"R614","1k2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","131.0000","-63.3000","90.0000","top"
"R615","10R","R_2512_6332Metric","121.7500","-66.0000","90.0000","top"
"R616","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","143.4250","-123.0000","180.0000","top"
"R617","10R","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","121.7500","-84.5000","90.0000","top"
"R618","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","68.6000","-109.8000","90.0000","top"
"U201","MCP2551-I/SN","SOIC-8_3.9x4.9mm_P1.27mm","180.9000","-118.7000","0.0000","bottom"
"U202","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm","186.4290","-106.9160","0.0000","bottom"
"U601","LM5104MNOPB","SOIC-8_3.9x4.9mm_P1.27mm","106.4000","-86.9000","270.0000","bottom"
"U602","INA240A4D","SOIC-8_3.9x4.9mm_P1.27mm","116.2000","-98.9500","90.0000","bottom"
"U603","LM324","SOIC-14_3.9x8.7mm_P1.27mm","143.5500","-118.8000","270.0000","bottom"
